timestamp,temp_in,hum_in,temp_out,hum_out,open_close
1523076960,18.150000,41.389999,20.969999,40.270000,0
1523077140,17.530001,42.029999,21.000000,40.240002,0
1523077380,17.697500,42.025002,20.969999,40.320000,0
1523077440,17.593332,41.060001,21.000000,40.290001,0
1523077500,17.647499,41.076668,20.969999,40.380001,0
1523077560,17.586666,41.117500,21.020000,39.950001,0
1523077620,17.665001,41.427498,20.969999,40.040001,0
1523077680,17.600000,41.674999,21.020000,40.119999,0
1523077740,17.690001,41.772499,21.020000,40.160000,0
1523077800,17.843334,42.080002,21.000000,40.250000,0
1523077860,18.055000,42.517502,21.000000,40.290001,0
1523077920,18.063334,42.580002,20.969999,40.410000,0
1523077980,18.150000,42.782501,21.040001,40.470001,0
1523078040,18.570000,42.915001,21.000000,40.529999,0
1523078100,18.637501,43.072498,21.000000,40.610001,0
1523078160,18.209999,43.340000,21.020000,40.650002,0
1523078220,18.445000,43.657501,21.020000,40.680000,0
1523078280,18.456667,43.970001,20.969999,40.730000,0
1523078340,17.877501,43.582500,20.969999,40.770000,1
1523078400,17.173334,43.680000,20.969999,40.830002,1
1523078460,16.717501,44.082500,21.000000,40.799999,1
1523078520,16.516666,44.172501,20.969999,40.830002,1
1523078580,16.402500,44.190002,20.969999,40.480000,1
1523078640,16.146666,44.312500,20.969999,40.509998,1
1523078700,16.282501,44.299999,20.969999,40.580002,1
1523078760,16.446667,44.587502,20.969999,40.529999,1
1523078820,16.177500,44.559998,21.000000,40.540001,1
1523078880,16.236666,44.259998,20.950001,40.650002,1
1523078940,16.445000,44.487499,21.000000,40.730000,1
1523079000,16.283333,44.647499,21.000000,40.730000,1
1523079060,15.802500,44.480000,20.950001,40.770000,1
1523079120,15.903334,44.147499,20.969999,40.759998,1
1523079180,15.742500,44.385002,21.000000,40.790001,1
1523079240,15.525000,44.160000,20.969999,40.869999,1
1523079300,15.640000,44.582500,20.969999,40.799999,1
1523079360,15.600000,45.107498,20.969999,40.910000,1
1523079420,15.046666,44.950001,20.930000,40.869999,0
1523079480,15.030000,45.003334,20.950001,40.910000,0
1523079540,15.106667,45.497501,20.969999,40.939999,0
1523079600,15.777500,45.619999,20.950001,40.930000,0
1523079660,15.776667,45.555000,20.930000,40.939999,0
1523079720,15.680000,45.652500,21.000000,40.939999,0
1523079780,15.296666,45.660000,20.930000,40.970001,0
1523079840,15.025000,46.070000,20.950001,41.000000,0
1523079900,14.223333,45.940002,20.950001,40.970001,0
1523079960,13.577499,45.740002,20.950001,40.970001,1
1523080020,13.980000,46.167500,20.969999,41.080002,1
1523080080,14.120000,46.385002,20.950001,41.060001,1
1523080140,13.720000,46.742500,20.930000,41.090000,1
1523080200,13.412499,46.504997,20.950001,41.189999,1
1523080260,14.045000,46.279999,20.930000,41.250000,1
1523080500,17.868000,46.497498,20.969999,41.259998,0
1523080560,18.656668,46.695000,20.950001,41.290001,0
1523080620,18.280001,46.642502,20.969999,41.250000,0
1523080680,18.053333,46.690002,20.969999,41.340000,0
1523080740,17.952499,46.532501,20.930000,41.369999,0
1523080800,18.136667,46.584999,20.969999,40.939999,0
1523080860,18.100000,46.200001,20.969999,40.970001,0
1523080920,18.196667,46.292500,20.969999,41.020000,0
1523080980,18.470001,46.010002,21.000000,40.970001,0
1523081040,18.730000,46.180000,20.950001,41.060001,0
1523081100,18.362499,46.502499,20.910000,41.080002,0
1523081160,18.469999,46.607498,20.950001,41.080002,0
1523081220,18.652500,46.389999,20.950001,41.110001,0
1523081280,18.959999,46.632500,20.930000,41.060001,0
1523081340,19.117500,46.549999,20.930000,41.139999,0
1523081400,19.276667,47.093334,20.930000,41.200001,0
1523081460,19.467499,46.797501,20.969999,41.139999,0
1523081520,18.926666,46.566666,20.930000,41.250000,0
1523081580,19.032501,46.842499,20.969999,41.200001,0
1523081640,19.226667,46.555000,20.950001,41.250000,0
1523081700,19.262501,46.752502,20.930000,41.279999,0
1523081760,19.549999,46.660000,20.930000,41.279999,0
1523081820,19.912500,46.730000,20.950001,41.320000,0
1523081880,20.146667,46.977501,20.930000,41.320000,0
1523081940,19.689999,46.842499,20.930000,41.369999,0
1523082000,19.876667,46.974998,20.950001,41.320000,0
1523082060,20.122499,47.064999,20.930000,41.369999,0
1523082120,20.040001,46.995003,20.950001,41.380001,1
1523082180,19.247499,47.154999,20.950001,41.400002,1
1523082240,19.290001,47.614998,20.950001,41.450001,0
1523082300,19.860001,47.432499,20.930000,41.450001,0
1523082360,19.777500,47.195000,20.950001,41.459999,0
1523082420,19.946667,47.532501,20.930000,41.480000,0
1523082480,20.162500,47.802498,20.969999,41.509998,0
1523082540,20.376667,47.514999,20.950001,41.520000,0
1523082600,20.455000,47.549999,20.969999,41.509998,0
1523082660,20.616667,47.267502,20.950001,41.540001,0
1523082720,20.730000,47.357498,20.930000,41.610001,0
1523082780,20.853333,47.212502,20.969999,41.599998,0
1523082840,20.735001,47.195000,20.950001,41.639999,0
1523082900,20.330000,47.232498,20.969999,41.630001,0
1523082960,20.430000,47.562500,20.969999,41.639999,0
1523083020,20.516666,47.226665,20.950001,41.639999,0
1523083080,20.552500,46.957500,20.950001,41.639999,0
1523083140,20.623333,46.560001,20.950001,41.639999,0
1523083200,20.670000,46.582500,20.950001,41.660000,0
1523083260,20.773333,46.507500,20.969999,41.669998,0
1523083320,20.830000,46.375000,20.950001,41.750000,0
1523083380,20.836666,46.012501,20.950001,41.830002,0
1523083440,20.872499,46.105000,20.950001,41.810001,0
1523083500,20.889999,46.057499,20.950001,41.799999,0
1523083560,20.827499,45.864998,20.950001,41.740002,0
1523083620,20.889999,45.837502,20.969999,41.799999,0
1523083680,20.879999,45.705002,20.969999,41.860001,0
1523083740,20.943333,46.187500,20.969999,41.380001,0
1523083800,20.965000,46.227501,20.950001,41.430000,0
1523083860,21.003334,46.360001,20.969999,41.509998,0
1523083920,20.742500,46.232498,20.930000,41.540001,1
1523083980,20.520000,46.227501,20.950001,41.639999,0
1523084040,20.642500,46.059998,21.000000,41.630001,0
1523084100,20.776667,46.397499,20.969999,41.689999,0
1523084160,20.904999,46.332500,20.969999,41.639999,0
1523084220,20.966667,46.602501,20.950001,41.700001,0
1523084280,20.985001,46.299999,20.950001,41.750000,0
1523084340,21.020000,46.372501,20.969999,41.810001,0
1523084400,21.245001,46.252502,20.950001,41.919998,0
1523084460,21.203333,46.224998,20.950001,41.980000,0
1523084520,21.263334,46.286667,20.969999,42.009998,0
1523084580,21.303333,46.029999,20.969999,42.040001,0
1523084640,21.244999,45.972500,20.930000,42.029999,0
1523084700,21.286667,45.966667,20.969999,42.070000,0
1523084760,21.264999,45.994999,20.930000,42.180000,0
1523084820,21.306667,46.235001,20.969999,42.150002,0
1523084880,21.327499,46.110001,20.969999,42.160000,0
1523084940,21.330000,46.242500,20.950001,42.180000,0
1523085000,21.355000,46.044998,20.950001,42.160000,0
1523085060,21.393333,46.082500,20.969999,42.189999,0
1523085120,21.440001,45.834999,20.969999,42.209999,0
1523085180,21.456667,46.067497,20.930000,42.189999,0
1523085240,21.466667,46.032501,20.969999,42.150002,0
1523085300,21.510000,46.320000,20.910000,42.130001,0
1523085360,21.549999,46.355000,20.969999,42.189999,0
1523085420,21.389999,46.160000,20.930000,42.220001,0
1523085480,21.516666,46.535000,20.930000,42.270000,0
1523085540,21.530001,46.042500,20.930000,42.290001,0
1523085600,21.543333,46.222500,20.950001,42.290001,0
1523085660,21.005001,46.435001,20.969999,42.220001,0
1523085720,21.003334,46.404999,20.930000,42.330002,1
1523085780,21.250000,46.522499,20.930000,42.330002,0
1523085840,21.549999,46.527500,20.969999,42.299999,0
1523085900,20.934999,46.575001,20.969999,42.349998,0
1523085960,21.003334,46.552498,20.930000,41.919998,0
1523086020,21.035000,46.487499,20.910000,42.330002,0
1523086080,21.066666,46.514999,20.930000,41.889999,0
1523086140,21.084999,46.622498,20.950001,41.889999,0
1523086200,21.080000,46.832500,20.950001,41.900002,0
1523086260,21.147499,46.867500,20.950001,42.330002,0
1523086320,21.120001,46.792500,20.930000,42.299999,0
1523086380,21.095001,46.830002,20.969999,42.330002,0
1523086440,21.126667,46.535000,20.950001,42.270000,0
1523086500,21.174999,46.669998,20.910000,42.240002,0
1523086560,21.236666,46.619999,20.930000,42.189999,0
1523086620,21.219999,46.610001,20.950001,42.189999,0
1523086680,21.163334,46.366665,20.930000,42.150002,0
1523086740,21.165001,46.720001,20.910000,42.119999,0
1523086800,21.230000,46.647499,20.950001,42.060001,0
1523086860,21.235001,46.492500,20.910000,42.070000,0
1523086920,21.176666,46.692501,20.930000,42.000000,0
1523086980,21.162500,46.630001,20.950001,41.930000,0
1523087040,21.113335,46.755001,20.910000,41.869999,0
1523087100,21.100000,46.922501,20.930000,41.860001,0
1523087160,21.073334,47.119999,20.910000,41.900002,0
1523087220,21.045000,47.099998,20.950001,41.840000,0
1523087280,21.120001,47.005001,20.950001,41.830002,0
1523087340,21.090000,46.582500,20.930000,41.740002,0
1523087400,21.106667,46.669998,20.930000,41.830002,0
1523087460,21.100000,47.590000,20.910000,41.799999,0
1523087520,21.530001,47.532501,20.910000,41.779999,1
1523087580,21.437500,47.035000,20.910000,41.720001,0
1523087640,21.340000,47.385002,20.910000,41.720001,0
1523087700,21.262501,47.294998,20.930000,41.599998,0
1523087760,21.253332,47.639999,20.910000,41.599998,0
1523087820,21.197500,47.910000,21.570000,41.490002,0
1523087880,21.100000,47.982498,20.910000,41.549999,0
1523087940,21.127501,47.947498,20.910000,41.480000,0
